"V1" "V2"
"1202" 1 2.92
"1203" 1 3.01
"1204" 1 3
"1205" 1 2.98
"1206" 1 3
"1207" 1 2.99
"1208" 1 2.95
"1209" 1 3.01
"1210" 1 2.99
"1211" 1 3.01
"1212" 1 2.99
"1213" 1 3.01
"1214" 1 3.01
"1215" 1 3
"1216" 1 3.01
"1217" 1 3.01
"1218" 1 3.01
"1219" 1 3.01
"1220" 1 2.99
"1221" 1 2.95
"1222" 1 3.01
"1223" 1 3.01
"1224" 1 3.01
"1225" 1 2.96
"1226" 1 2.99
"1227" 1 3
"1228" 1 3.01
"1229" 1 3.01
"1230" 1 3.01
"1231" 1 3.01
"1232" 1 3
"1233" 1 3.01
"1234" 1 3.01
"1235" 1 3.01
"1236" 1 3.01
"1237" 1 2.8
"1238" 1 3
"1239" 1 3.01
"1240" 1 3.01
"1241" 1 3
"1242" 1 3.01
"1243" 1 3.01
"1244" 1 3.01
"1245" 1 3.01
"1246" 1 3.01
"1247" 1 3
"1248" 1 3.01
"1249" 1 3.01
"1250" 1 3.01
"1251" 1 3
"1252" 1 3.01
"1253" 1 2.99
"1254" 1 3
"1255" 1 3
"1256" 1 3
"1257" 1 2.95
"1258" 1 3.01
"1259" 1 2.99
"1260" 1 3.01
"1261" 1 1.23
"1262" 1 2.99
"1263" 1 3.01
"1264" 1 2.8
"1265" 1 2.91
"1266" 1 3.01
"1267" 1 3.01
"1268" 1 3
"1269" 1 2.99
"1270" 1 3.01
"1271" 1 3.01
"1272" 1 2.92
"1273" 1 2.99
"1274" 1 3.01
"1275" 1 3.01
"1276" 1 3.01
"1277" 1 2.97
"1278" 1 3.01
"1279" 1 3.01
"1280" 1 2.98
"1281" 1 2.99
"1282" 1 2.88
"1283" 1 2.97
"1284" 1 3.01
"1285" 1 2.94
"1286" 1 2.72
"1287" 1 3
"1288" 1 3
"1289" 1 3.01
"1290" 1 3
"1291" 1 3.01
"1292" 1 3.01
"1293" 1 2.99
"1294" 1 3
"1295" 1 3.01
"1296" 1 2.98
"1297" 1 2.89
"1298" 1 3.01
"1299" 1 3
"1300" 1 3.01
"1301" 1 3.01
"1302" 1 2.92
"1303" 1 3.01
"1304" 1 3.01
"1305" 1 2.97
"1306" 1 1.88
"1307" 1 3.01
"1308" 1 3
"1309" 1 3.01
"1310" 1 3
"1311" 1 3.01
"1312" 1 3.01
"1313" 1 3.01
"1314" 1 3.01
"1315" 1 3
"1316" 1 2.99
"1317" 1 3.01
"1318" 1 3.01
"1319" 1 3.01
"1320" 1 2.94
"1321" 1 3.01
"1322" 1 2.99
"1323" 1 3
"1324" 1 3
"1325" 1 3
"1326" 1 3.01
"1327" 1 3.01
"1328" 1 3
"1329" 1 2.99
"1330" 1 3
"1331" 1 3.01
"1332" 1 3
"1333" 1 2.98
"1334" 1 2.99
"1335" 1 3
"1336" 1 2.89
"1337" 1 3
"1338" 1 3.01
"1339" 1 3
"1340" 1 2.79
"1341" 1 3
"1342" 1 3.01
"1343" 1 3
"1344" 1 2.96
"1345" 1 3.01
"1346" 1 3.01
"1347" 1 2.89
"1348" 1 2.95
"1349" 1 2.99
"1350" 1 3.01
"1351" 1 3
"1352" 1 3.01
"1353" 1 2.98
"1354" 1 3.01
"1355" 1 2.94
"1356" 1 3
"1357" 1 3
"1358" 1 3
"1359" 1 2.92
"1360" 1 3.01
"1361" 1 3
"1362" 1 2.92
"1363" 1 3
"1364" 1 3.01
"1365" 1 3
"1366" 1 3.01
"1367" 1 3
"1368" 1 2.94
"1369" 1 3.01
"1370" 1 3
"1371" 1 3.01
"1372" 1 2.99
"1373" 1 2.99
"1374" 1 3.01
"1375" 1 2.74
"1376" 1 2.92
"1377" 1 3
"1378" 1 3
"1379" 1 3.01
"1380" 1 2.91
"1381" 1 2.72
"1382" 1 3.01
"1383" 1 3.01
"1384" 1 3.01
"1385" 1 2.99
"1386" 1 3
"1387" 1 2.95
"1388" 1 3.01
"1389" 1 3
"1390" 1 3.01
"1391" 1 3.01
"1392" 1 3.01
"1393" 1 3
"1394" 1 3.01
"1395" 1 3.01
"1396" 1 3.01
"1397" 1 2.97
"1398" 1 3.01
"1399" 1 3
"1400" 1 3
"1401" 1 3
"1402" 2 6.01
"1403" 2 6
"1404" 2 6.01
"1405" 2 6.02
"1406" 2 6
"1407" 2 6.02
"1408" 2 6.01
"1409" 2 6
"1410" 2 6.02
